Concepto,Tipo,Estimado,Comprometido,Movido,Saldo,Notas
"Cuotas del equipo (48 × $1,500–2,000)",INGRESO,"72,000–96,000",,,,[PROPUESTA] cuota sin cerrar
"Cuotas de participantes (~52 × $3,000)",INGRESO,156000,,,,estimado; ajustar al conteo final
Rifa (Profondo #1),INGRESO,"variable (~117,000 meta de trabajo)",,,,primera actividad
Venta de comida (Profondo #2),INGRESO,variable,,,,
Donaciones (empresas/particulares/diáspora),INGRESO,variable,,,,responsabilidad de Directores (delegable)
Deuda al Consejo (10% reserva),EGRESO,23600,,,,1ra obligación a cubrir
"Casa de retiro (100 personas, con exención)",EGRESO,200000,,,,con exención RNC parroquia Paul
Transporte,EGRESO,77500,,,,3 cotizaciones pendientes
Cocina (canasta + meriendas),EGRESO,82166,,,,baja con donaciones en especie
"Materiales y litúrgico (peces, biblias, banderín…)",EGRESO,88500,,,,
"Guías / PG (libretas, materiales)",EGRESO,17000,,,,
Música,EGRESO,4500,,,,la casa tiene sonido
Camisetas del equipo,EGRESO,22000,,,,solo equipo
Eventos formativos (5 formaciones),EGRESO,16315,,,,
Imprevistos + avanzada,EGRESO,ver Finanzas_ETC88.xlsx,,,,detalle en las 12 pestañas
